Id;Designator;Package;Quantity;Designation;Supplier and ref
1;G***;Proyecto_CFS;1;LOGO;
2;USB1;HRO-TYPE-C-31-M-12-HandSoldering;1;HRO-TYPE-C-31-M-12;
6;D101,D99,D97,D95,D85,D84,D82,D80,D78,D72,D64,D63,D61,D58,D56,D54,D53,D52,D50,D48,D45,D43,D42,D40,D38,D37,D35,D31,D29,D27,D26,D24,D22,D21,D19,D17,D16,D15,D13,D11,D10,D8,D6,D5,D4,D2,D102,D100,D98,D96,D94,D93,D92,D91,D90,D89,D88,D87,D86,D83,D81,D79,D77,D76,D75,D74,D73,D71,D70,D69,D68,D67,D66,D65,D62,D60,D59,D57,D55,D51,D49,D47,D46,D44,D41,D39,D36,D34,D33,D32,D30,D28,D25,D23,D20,D18,D14,D12,D9,D7,D3,D1;D_SOD-123;102;D_Small;
7;Y1;Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering;1;16MHz;
8;F1;Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;500mA;
44;SW1;SW_SPST_SKQG_WithStem;1;SW_Push;
111;J1;PinHeader_2x3_P2.54mm_Vertical;1;AVR-ISP-6;
112;U2;SOT143B;1;PRTR5V0U2X;
113;U1;TQFP-64_14x14mm_P0.8mm;1;AT90USB1286-AU;
114;RC7,RC6;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;5k1;
115;RC4;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;1k;
116;RC3;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;10k;
117;RC2,RC1;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;22;
118;C8,C7,C6;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;3;0.1uF;
119;C5,C2;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;1uF;
120;C4,C3;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;22pF;
